"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1952,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
1952,"Joe Fulks","SF","6-5","190","San Francisco Warriors","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1952,"Harry Gallatin","FC","6-6","210","New York Knicks","Eastern All-Star Coaches Selection","1947 Rnd 4 Pick 10","United States"
1952,"Ed Macauley","FC","6-8","185","Boston Celtics","Eastern All-Star Fan Vote Selection","1949 Rnd 1 Pick 5","United States"
1952,"Dick McGuire","G","6-0","180","New York Knicks","Eastern All-Star Coaches Selection","1949 Rnd 1 Pick 8","United States"
1952,"Andy Phillip","GF","6-2","195","San Francisco Warriors","Eastern All-Star Fan Vote Selection","1947 Rnd 5 Pick 7","United States"
1952,"Red Rocha","FC","6-9","185","Syracuse Nationals","Eastern All-Star Coaches Selection","1947 Rnd 2 Pick 2","United States"
1952,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Fan Vote Selection","1948 Rnd 1 Pick 4","United States"
1952,"Fred Scolari","PG","5-10","180","Baltimore Bullets (BAA)","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1952,"Max Zaslofsky","SG","6-2","170","New York Knicks","Eastern All-Star Coaches Selection","1950 NBA Draft, Undrafted","United States"
1952,"Leo Barnhorst","SF","6-4","190","Indianapolis Olympians","Western All-Star Fan Vote Selection","1949 Rnd 2 Pick 2","United States"
1952,"Frankie Brian","G","6-1","180","Fort Wayne Pistons","Western All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1952,"Bob Davies","G","6-1","175","Rochester Royals","Western All-Star Fan Vote Selection"," NBA Draft, Undrafted","United States"
1952,"Dike Eddleman","SF","6-3","189","Milwaukee Hawks","Western All-Star Coaches Selection","1949 Rnd 3 Pick 10","United States"
1952,"Larry Foust","FC","6-9","215","Fort Wayne Pistons","Western All-Star Coaches Selection","1950 NBA Draft, Undrafted","United States"
1952,"George Mikan","C","6-10","245","Minneapolis Lakers","Western All-Star Fan Vote Selection"," NBA Draft, Undrafted","United States"
1952,"Vern Mikkelsen","F","6-7","230","Minneapolis Lakers","Western All-Star Fan Vote Selection","1949 Rnd 1 Pick 11","United States"
1952,"Jim Pollard","F","6-4","185","Minneapolis Lakers","Western All-Star Coaches Selection","1947 Rnd 7 Pick 5","United States"
1952,"Arnie Risen","C","6-9","200","Rochester Royals","Western All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1952,"Paul Walther","G","6-2","160","Indianapolis Olympians","Western All-Star Coaches Selection","1949 Rnd 4 Pick 9","United States"
1952,"Bobby Wanzer","G","6-0","170","Rochester Royals","Western All-Star Fan Vote Selection","1948 Rnd 1 Pick 10","United States"
1953,"Don Barksdale","F","6-6","200","Baltimore Bullets (BAA)","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1953,"Carl Braun","SG","6-5","180","New York Knicks","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1953,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
1953,"Bill Gabor","SG","5-11","170","Syracuse Nationals","Eastern All-Star Coaches Selection","1948 Rnd 2 Pick 10","United States"
1953,"Harry Gallatin","FC","6-6","210","New York Knicks","Eastern All-Star Fan Vote Selection","1947 Rnd 4 Pick 10","United States"
1953,"Neil Johnston","C","6-8","210","San Francisco Warriors","Eastern All-Star Coaches Selection","1948 NBA Draft, Undrafted","United States"
1953,"Ed Macauley","FC","6-8","185","Boston Celtics","Eastern All-Star Fan Vote Selection","1949 Rnd 1 Pick 5","United States"
1953,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Fan Vote Selection","1948 Rnd 1 Pick 4","United States"
1953,"Fred Scolari","PG","5-10","180","Baltimore Bullets (BAA)","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1953,"Paul Seymour","GF","6-1","180","Syracuse Nationals","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1953,"Bill Sharman","G","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 Rnd 2 Pick 5","United States"
1953,"Leo Barnhorst","SF","6-4","190","Indianapolis Olympians","Western All-Star Coaches Selection","1949 Rnd 2 Pick 2","United States"
1953,"Bob Davies","G","6-1","175","Rochester Royals","Western All-Star Fan Vote Selection"," NBA Draft, Undrafted","United States"
1953,"Larry Foust","FC","6-9","215","Fort Wayne Pistons","Western All-Star Coaches Selection","1950 NBA Draft, Undrafted","United States"
1953,"Mel Hutchins","FC","6-6","200","Milwaukee Hawks","Western All-Star Fan Vote Selection","1951 Rnd 1 Pick 2","United States"
1953,"Slater Martin","PG","5-10","170","Minneapolis Lakers","Western All-Star Coaches Selection","1949 Rnd 3 Pick 11","United States"
1953,"George Mikan","C","6-10","245","Minneapolis Lakers","Western All-Star Fan Vote Selection"," NBA Draft, Undrafted","United States"
1953,"Vern Mikkelsen","F","6-7","230","Minneapolis Lakers","Western All-Star Fan Vote Selection","1949 Rnd 1 Pick 11","United States"
1953,"Andy Phillip","GF","6-2","195","Fort Wayne Pistons","Western All-Star Coaches Selection","1947 Rnd 5 Pick 7","United States"
1953,"Arnie Risen","C","6-9","200","Rochester Royals","Western All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1953,"Bobby Wanzer","G","6-0","170","Rochester Royals","Western All-Star Fan Vote Selection","1948 Rnd 1 Pick 10","United States"
1954,"Carl Braun","SG","6-5","180","New York Knicks","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1954,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
1954,"Ray Felix","C","6-11","220","Baltimore Bullets (BAA)","Eastern All-Star Fan Vote Selection","1953 Rnd 1 Pick 1","United States"
1954,"Harry Gallatin","FC","6-6","210","New York Knicks","Eastern All-Star Coaches Selection","1947 Rnd 4 Pick 10","United States"
1954,"Neil Johnston","C","6-8","210","San Francisco Warriors","Eastern All-Star Coaches Selection","1948 NBA Draft, Undrafted","United States"
1954,"Ed Macauley","FC","6-8","185","Boston Celtics","Eastern All-Star Fan Vote Selection","1949 Rnd 1 Pick 5","United States"
1954,"Dick McGuire","G","6-0","180","New York Knicks","Eastern All-Star Fan Vote Selection","1949 Rnd 1 Pick 8","United States"
1954,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Fan Vote Selection","1948 Rnd 1 Pick 4","United States"
1954,"Paul Seymour","GF","6-1","180","Syracuse Nationals","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1954,"Bill Sharman","G","6-1","175","Boston Celtics","Eastern All-Star Coaches Selection","1950 Rnd 2 Pick 5","United States"
1954,"Bob Davies","G","6-1","175","Rochester Royals","Western All-Star Fan Vote Selection"," NBA Draft, Undrafted","United States"
1954,"Larry Foust","FC","6-9","215","Fort Wayne Pistons","Western All-Star Coaches Selection","1950 NBA Draft, Undrafted","United States"
1954,"Mel Hutchins","FC","6-6","200","Fort Wayne Pistons","Western All-Star Fan Vote Selection","1951 Rnd 1 Pick 2","United States"
1954,"Slater Martin","PG","5-10","170","Minneapolis Lakers","Western All-Star Coaches Selection","1949 Rnd 3 Pick 11","United States"
1954,"George Mikan","C","6-10","245","Minneapolis Lakers","Western All-Star Fan Vote Selection"," NBA Draft, Undrafted","United States"
1954,"Jack Molinas","SF","6-6","200","Fort Wayne Pistons","Western All-Star Coaches Selection","1953 Rnd 1 Pick 3","United States"
1954,"Andy Phillip","GF","6-2","195","Fort Wayne Pistons","Western All-Star Coaches Selection","1947 Rnd 5 Pick 7","United States"
1954,"Jim Pollard","F","6-4","185","Minneapolis Lakers","Western All-Star Fan Vote Selection","1947 Rnd 7 Pick 5","United States"
1954,"Arnie Risen","C","6-9","200","Rochester Royals","Western All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1954,"Don Sunderlage","SG","6-1","180","Milwaukee Hawks","Western All-Star Coaches Selection","1951 Rnd 1 Pick 9","United States"
1954,"Bobby Wanzer","G","6-0","170","Rochester Royals","Western All-Star Fan Vote Selection","1948 Rnd 1 Pick 10","United States"
1955,"Paul Arizin","GF","6-4","190","San Francisco Warriors","Eastern All-Star Coaches Selection","1950 Rnd 1 Pick 3","United States"
1955,"Carl Braun","SG","6-5","180","New York Knicks","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1955,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
1955,"Harry Gallatin","FC","6-6","210","New York Knicks","Eastern All-Star Fan Vote Selection","1947 Rnd 4 Pick 10","United States"
1955,"Neil Johnston","C","6-8","210","San Francisco Warriors","Eastern All-Star Coaches Selection","1948 NBA Draft, Undrafted","United States"
1955,"Ed Macauley","FC","6-8","185","Boston Celtics","Eastern All-Star Fan Vote Selection","1949 Rnd 1 Pick 5","United States"
1955,"Dick McGuire","G","6-0","180","New York Knicks","Eastern All-Star Coaches Selection","1949 Rnd 1 Pick 8","United States"
1955,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Fan Vote Selection","1948 Rnd 1 Pick 4","United States"
1955,"Paul Seymour","GF","6-1","180","Syracuse Nationals","Eastern All-Star Fan Vote Selection"," NBA Draft, Undrafted","United States"
1955,"Bill Sharman","G","6-1","175","Boston Celtics","Eastern All-Star Coaches Selection","1950 Rnd 2 Pick 5","United States"
1955,"Jack Coleman","PF","6-7","195","Rochester Royals","Western All-Star Coaches Selection","1948 Rnd 3 Pick 1","United States"
1955,"Larry Foust","FC","6-9","215","Fort Wayne Pistons","Western All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
