"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1993,"Clyde Drexler","SG","6-7","210","Portland Trail Blazers","Western All-Star Fan Vote Selection","1983 Rnd 1 Pick 14","United States"
1993,"Kevin Johnson","PG","6-1","180","Phoenix Suns","Western All-Star Coaches Selection","1987 Rnd 1 Pick 7","United States"
1993,"Shawn Kemp","C","6-10","280","Seattle SuperSonics","Western All-Star Fan Vote Selection","1989 Rnd 1 Pick 17","United States"
1993,"Karl Malone","PF","6-9","265","Utah Jazz","Western All-Star Coaches Selection","1985 Rnd 1 Pick 13","United States"
1993,"Danny Manning","F","6-10","230","Los Angeles Clippers","Western All-Star Coaches Selection","1988 Rnd 1 Pick 1","United States"
1993,"Hakeem Olajuwon","C","7-0","255","Houston Rockets","Western All-Star Fan Vote Selection","1984 Rnd 1 Pick 1","NigeriaUnited States"
1993,"Gary Payton","G","6-4","180","Seattle SuperSonics","Western All-Star Replacement Selection","1990 Rnd 1 Pick 2","United States"
1993,"Mitch Richmond","SG","6-5","215","Sacramento Kings","Western All-Star Fan Vote Selection","1988 Rnd 1 Pick 5","United States"
1993,"Cliff Robinson","PF","6-10","225","Portland Trail Blazers","Western All-Star Coaches Selection","1989 Rnd 2 Pick 9","United States"
1993,"David Robinson","C","7-1","250","San Antonio Spurs","Western All-Star Coaches Selection","1987 Rnd 1 Pick 1","United States"
1993,"Latrell Sprewell","SG","6-5","190","Golden State Warriors","Western All-Star Coaches Selection","1992 Rnd 1 Pick 24","United States"
1993,"John Stockton","PG","6-1","170","Utah Jazz","Western All-Star Coaches Selection","1984 Rnd 1 Pick 16","United States"
1993,"Kenny Anderson","PG","6-0","168","New Jersey Nets","Eastern All-Star Fan Vote Selection","1991 Rnd 1 Pick 2","United States"
1993,"B.J. Armstrong","G","6-2","175","Chicago Bulls","Eastern All-Star Fan Vote Selection","1989 Rnd 1 Pick 18","United States"
1993,"Mookie Blaylock","PG","6-1","190","Atlanta Hawks","Eastern All-Star Coaches Selection","1989 Rnd 1 Pick 12","United States"
1993,"Derrick Coleman","FC","6-10","230","New Jersey Nets","Eastern All-Star Fan Vote Selection","1990 Rnd 1 Pick 1","United States"
1993,"Patrick Ewing","C","7-0","240","New York Knicks","Eastern All-Star Coaches Selection","1985 Rnd 1 Pick 1","United StatesJamaica"
1993,"Horace Grant","PF","6-10","255","Chicago Bulls","Eastern All-Star Replacement Selection","1987 Rnd 1 Pick 10","United States"
1993,"Alonzo Mourning","C","6-10","240","Charlotte Hornets","Eastern All-Star Coaches Selection","1992 Rnd 1 Pick 2","United States"
1993,"Shaquille O'Neal","C","7-1","325","Orlando Magic","Eastern All-Star Fan Vote Selection","1992 Rnd 1 Pick 1","United States"
1993,"Charles Oakley","PF","6-8","225","New York Knicks","Eastern All-Star Coaches Selection","1985 Rnd 1 Pick 9","United States"
1993,"Scottie Pippen","SF","6-8","228","Chicago Bulls","Eastern All-Star Fan Vote Selection","1987 Rnd 1 Pick 5","United States"
1993,"Mark Price","PG","6-0","170","Cleveland Cavaliers","Eastern All-Star Coaches Selection","1986 Rnd 2 Pick 1","United States"
1993,"John Starks","SG","6-3","180","New York Knicks","Eastern All-Star Coaches Selection","1988 NBA Draft, Undrafted","United States"
1993,"Dominique Wilkins","SF","6-7","200","Atlanta Hawks","Eastern All-Star Coaches Selection","1982 Rnd 1 Pick 3","United States"
1994,"Charles Barkley","PF","6-6","252","Phoenix Suns","Western All-Star Fan Vote Selection","1984 Rnd 1 Pick 5","United States"
1994,"Cedric Ceballos","SF","6-6","190","Los Angeles Lakers","Western All-Star Coaches Selection","1990 Rnd 2 Pick 21","United States"
1994,"Shawn Kemp","C","6-10","280","Seattle SuperSonics","Western All-Star Fan Vote Selection","1989 Rnd 1 Pick 17","United States"
1994,"Dan Majerle","SG","6-6","215","Phoenix Suns","Western All-Star Fan Vote Selection","1988 Rnd 1 Pick 14","United States"
1994,"Karl Malone","PF","6-9","265","Utah Jazz","Western All-Star Coaches Selection","1985 Rnd 1 Pick 13","United States"
1994,"Dikembe Mutombo","C","7-2","260","Denver Nuggets","Western All-Star Replacement Selection","1991 Rnd 1 Pick 4","Democratic Republic of the Congo"
1994,"Hakeem Olajuwon","C","7-0","255","Houston Rockets","Western All-Star Fan Vote Selection","1984 Rnd 1 Pick 1","NigeriaUnited States"
1994,"Gary Payton","G","6-4","180","Seattle SuperSonics","Western All-Star Coaches Selection","1990 Rnd 1 Pick 2","United States"
1994,"Mitch Richmond","SG","6-5","215","Sacramento Kings","Western All-Star Coaches Selection","1988 Rnd 1 Pick 5","United States"
1994,"David Robinson","C","7-1","250","San Antonio Spurs","Western All-Star Coaches Selection","1987 Rnd 1 Pick 1","United States"
1994,"Detlef Schrempf","SF","6-9","214","Seattle SuperSonics","Western All-Star Coaches Selection","1985 Rnd 1 Pick 8","GermanyUnited States"
1994,"Latrell Sprewell","SG","6-5","190","Golden State Warriors","Western All-Star Fan Vote Selection","1992 Rnd 1 Pick 24","United States"
1994,"John Stockton","PG","6-1","170","Utah Jazz","Western All-Star Coaches Selection","1984 Rnd 1 Pick 16","United States"
1994,"Vin Baker","PF","6-11","240","Milwaukee Bucks","Eastern All-Star Coaches Selection","1993 Rnd 1 Pick 8","United States"
1994,"Dana Barros","PG","5-11","165","Philadelphia Sixers","Eastern All-Star Coaches Selection","1989 Rnd 1 Pick 16","United States"
1994,"Joe Dumars","SG","6-3","190","Detroit Pistons","Eastern All-Star Coaches Selection","1985 Rnd 1 Pick 18","United States"
1994,"Patrick Ewing","C","7-0","240","New York Knicks","Eastern All-Star Coaches Selection","1985 Rnd 1 Pick 1","United StatesJamaica"
1994,"Penny Hardaway","PG","6-7","195","Orlando Magic","Eastern All-Star Fan Vote Selection","1993 Rnd 1 Pick 3","United States"
1994,"Grant Hill","SF","6-8","225","Detroit Pistons","Eastern All-Star Fan Vote Selection","1994 Rnd 1 Pick 3","United States"
1994,"Tyrone Hill","PF","6-9","240","Cleveland Cavaliers","Eastern All-Star Coaches Selection","1990 Rnd 1 Pick 11","United States"
